of : 15 : 5.54%
the : 14 : 5.17%
to : 10 : 3.69%
and : 7 : 2.58%
And : 5 : 1.85%
a : 5 : 1.85%
The : 5 : 1.85%
s : 5 : 1.85%
To : 5 : 1.85%
sleep : 5 : 1.85%
we : 4 : 1.48%
that : 4 : 1.48%
That : 3 : 1.11%
us : 3 : 1.11%
d : 3 : 1.11%
bear : 3 : 1.11%
be : 3 : 1.11%
end : 2 : 0.74%
there : 2 : 0.74%
this : 2 : 0.74%
by : 2 : 0.74%
death : 2 : 0.74%
die : 2 : 0.74%
have : 2 : 0.74%
in : 2 : 0.74%
is : 2 : 0.74%
life : 2 : 0.74%
make : 2 : 0.74%
makes : 2 : 0.74%
not : 2 : 0.74%
When : 2 : 0.74%
No : 2 : 0.74%
With : 2 : 0.74%
For : 2 : 0.74%
tis : 2 : 0.74%
would : 2 : 0.74%
returns : 1 : 0.37%
respect : 1 : 0.37%
resolution : 1 : 0.37%
regard : 1 : 0.37%
rather : 1 : 0.37%
pause : 1 : 0.37%
quietus : 1 : 0.37%
whose : 1 : 0.37%
question : 1 : 0.37%
will : 1 : 0.37%
puzzles : 1 : 0.37%
proud : 1 : 0.37%
rub : 1 : 0.37%
pitch : 1 : 0.37%
perchance : 1 : 0.37%
say : 1 : 0.37%
wish : 1 : 0.37%
with : 1 : 0.37%
patient : 1 : 0.37%
pangs : 1 : 0.37%
pale : 1 : 0.37%
outrageous : 1 : 0.37%
others : 1 : 0.37%
or : 1 : 0.37%
oppressor : 1 : 0.37%
opposing : 1 : 0.37%
office : 1 : 0.37%
off : 1 : 0.37%
wrong : 1 : 0.37%
takes : 1 : 0.37%
traveller : 1 : 0.37%
time : 1 : 0.37%
thus : 1 : 0.37%
troubles : 1 : 0.37%
thousand : 1 : 0.37%
thought : 1 : 0.37%
those : 1 : 0.37%
turn : 1 : 0.37%
under : 1 : 0.37%
them : 1 : 0.37%
their : 1 : 0.37%
undiscovere : 1 : 0.37%
unworthy : 1 : 0.37%
th : 1 : 0.37%
weary : 1 : 0.37%
who : 1 : 0.37%
may : 1 : 0.37%
take : 1 : 0.37%
sweat : 1 : 0.37%
suffer : 1 : 0.37%
spurns : 1 : 0.37%
something : 1 : 0.37%
what : 1 : 0.37%
so : 1 : 0.37%
slings : 1 : 0.37%
sicklied : 1 : 0.37%
shuffled : 1 : 0.37%
shocks : 1 : 0.37%
sea : 1 : 0.37%
scorns : 1 : 0.37%
whips : 1 : 0.37%
consummation : 1 : 0.37%
ay : 1 : 0.37%
bare : 1 : 0.37%
bodkin : 1 : 0.37%
bourn : 1 : 0.37%
calamity : 1 : 0.37%
cast : 1 : 0.37%
coil : 1 : 0.37%
come : 1 : 0.37%
conscience : 1 : 0.37%
awry : 1 : 0.37%
contumely : 1 : 0.37%
country : 1 : 0.37%
cowards : 1 : 0.37%
currents : 1 : 0.37%
delay : 1 : 0.37%
dispriz : 1 : 0.37%
does : 1 : 0.37%
dread : 1 : 0.37%
Whether : 1 : 0.37%
But : 1 : 0.37%
Devoutly : 1 : 0.37%
Is : 1 : 0.37%
Must : 1 : 0.37%
Or : 1 : 0.37%
Th : 1 : 0.37%
Than : 1 : 0.37%
Thus : 1 : 0.37%
dream : 1 : 0.37%
Who : 1 : 0.37%
ache : 1 : 0.37%
action : 1 : 0.37%
after : 1 : 0.37%
against : 1 : 0.37%
all : 1 : 0.37%
arms : 1 : 0.37%
arrows : 1 : 0.37%
might : 1 : 0.37%
insolence : 1 : 0.37%
know : 1 : 0.37%
law : 1 : 0.37%
long : 1 : 0.37%
lose : 1 : 0.37%
love : 1 : 0.37%
man : 1 : 0.37%
merit : 1 : 0.37%
ills : 1 : 0.37%
mind : 1 : 0.37%
moment : 1 : 0.37%
more : 1 : 0.37%
mortal : 1 : 0.37%
name : 1 : 0.37%
native : 1 : 0.37%
natural : 1 : 0.37%
nobler : 1 : 0.37%
give : 1 : 0.37%
dreams : 1 : 0.37%
enterprises : 1 : 0.37%
er : 1 : 0.37%
fardels : 1 : 0.37%
flesh : 1 : 0.37%
fly : 1 : 0.37%
fortune : 1 : 0.37%
from : 1 : 0.37%
o : 1 : 0.37%
great : 1 : 0.37%
grunt : 1 : 0.37%
he : 1 : 0.37%
heart : 1 : 0.37%
heir : 1 : 0.37%
himself : 1 : 0.37%
his : 1 : 0.37%
hue : 1 : 0.37%
